Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,County,Number of Beds,Inpatient Total Charges,Outpatient Total Charges,Total Salaries (adjusted),Total Income
340017,MARGARET R. PARDEE MEMORIAL HOSPITAL,800 NORTH JUSTICE STREET,HENDERSONVILLE,NC,28791-,HENDERSON,160,"$156,201,053","$290,879,418","$58,456,313","$4,024,469"
100092,WUESTOFF MEDICAL CENTER - ROCKLEDGE,110 LONGWOOD AVENUE,ROCKLEDGE,FL,32955,BREVARD,274,"$403,452,183","$356,850,795","$29,248,419","$8,458,868"
670058,EMERUS EMERGENCY HOSPITAL SUGAR LAND,16000 SOUTHWEST FRWY  SUITE 100,SUGAR LAND,TX,77479,FORT BEND,7,"$241,640","$9,774,719","$778,620","$97,107"
670095,EMERUS COMMUNITY HOSPITAL,24429 TOMBALL PARKWAY  SUITE 100,TOMBALL,TX,77375,HARRIS,8,"$259,115","$10,334,512","$934,304","$84,355"
50327,LOMA LINDA UNIVERSITY MEDICAL CENTER,11234 ANDERSON STREET,LOMA LINDA,CA,92354,SAN BERNARDINO,445,"$1,636,204,072","$712,793,600","$192,164,508","-$515,847,904"
660001,COMMONWEALTH HEALTH CENTER,LOWER NAVY HILL RD,SAIPAN,MP,96950,CNMI,74,"$14,000","$11,000",,"-$47,712,134"
450659,PARK PLAZA HOSPITAL,1313 HERMANN DRIVE,HOUSTON,TX,77004,HARRIS,133,"$196,707,284","$128,378,746","$17,295,909","$1,261,199"
60043,KEEFE MEMORIAL HOSPITAL,602 NORTH 6TH STREET WEST,CHEYENNE WELLS,CO,80810,CHEYENNE,11,"$518,205","$3,672,392","$1,705,884","-$353,926"
131315,SYRINGA GENERAL HOSPITAL,607 W. MAIN STREET,GRANGEVILLE,ID,83530-,IDAHO,15,"$4,102,152","$15,654,928",,"-$683,180"
500012,YAKIMA REGIONAL MEDICAL & CARDIAC CE,110 SOUTH NINTH AVENUE,YAKIMA,WA,98902,YAKIMA,124,"$43,988,613","$45,307,758","$5,705,885","-$3,047,853"
281339,MEMORIAL HEALTH CARE SYSTEMS,300 NORTH COLUMBIA AVENUE,SEWARD,NE,68434-,SEWARD,24,"$5,854,062","$28,629,022",,"$4,259,630"
341302,OUR COMMUNITY HOSPITAL,921 JUNIOR HIGH ROAD,SCOTLAND NECK,NC,27874-,HALIFAX,20,"$3,999,179","$1,333,329",,"-$495,592"
50528,MEMORIAL HOSPITAL - LOS BANOS,520 WEST I STREET,LOS BANOS,CA,93635-,MERCED,44,"$19,950,674","$60,412,840","$6,805,907","$1,343,636"
371314,PHYSICIANS HOSPITAL AT ANADARKO,1002 EAST CENTRAL BLVD,ANADARKO,OK,73005-,CADDO,25,"$10,787,953","$20,746,249",,"-$11,609,898"
450754,HAMILTON GENERAL HOSPITAL,400 NORTH BROWN,HAMILTON,TX,76531-,HAMILTON,42,"$12,878,823","$54,298,121","$11,434,847","$3,009,288"
471300,GRACE COTTAGE HOSPITAL,185 GRAFTON ROAD,TOWNSHEND,VT,05353-0216,WINDHAM,19,"$7,613,654","$17,098,654",,"-$551,975"
452022,SSH - DALLAS  INC.,2329 PARKER RD,CARROLLTON,TX,75010,DALLAS,126,"$117,248,464",,"$16,191,230","$849,363"
521348,VERNON MEMORIAL HOSPITAL,507 SOUTH MAIN ST,VIROQUA,WI,54665,VERNON,25,"$29,469,856","$75,405,013",,"$5,441,325"
241320,RIVERVIEW HEALTHCARE ASSOCIATION,123 SOUTH MINNESOTA,CROOKSTON,MN,56716-,POLK,25,"$33,371,213","$67,036,246",,"$3,139,418"
471302,MT ASCUTNEY HOSPITAL AND HEALTH CENT,289 COUNTY ROAD,WINDSOR,VT,5089,WINDSOR,25,"$24,618,343","$48,598,922",,"$2,301,259"
443033,QUILLEN REHABILITATION HOSPITAL  A,2511 WESLEY STREET,JOHNSON CITY,TN,37601,WASHINGTON,36,"$16,482,747",,"$4,480,090","$598,340"
193028,BATON ROUGE REHAB HOSPITAL,8595 UNITED PLAZA BLVD,BATON ROUGE,LA,70809,EAST BATON ROUGE,81,"$17,754,681","$10,836,416","$6,286,421","-$11,930,627"
131318,WALTER KNOX MEMORIAL HOSPITAL,1202 EAST LOCUST,EMMETT,ID,83617,GEM,13,"$2,907,644","$21,257,727",,"-$2,296,817"
41323,ASHLEY COUNTY MEDICAL CENTER,1015 UNITY ROAD,CROSSETT,AR,71635-,ASHLEY,25,"$19,253,127","$46,184,932",,"$132,410"
251333,PEARL RIVER COUNTY HOSPITAL,305 WEST MOODY STREET,POPLARVILLE,MS,39470,PEARL RIVER,24,"$14,810,332","$12,743,649",,"$575,889"
301302,LITTLETON REGIONAL HEALTHCARE,600 ST. JOHNSBURY ROAD,LITTLETON,NH,03561-,GRAFTON,25,"$32,314,604","$97,273,994",,"$5,252,477"
301306,FRANKLIN REGIONAL HOSPITAL,15 AIKEN AVENUE,FRANKLIN,NH,03235-1259,MERRIMACK,25,"$19,056,856","$48,972,804",,"$12,556,351"
301308,VALLEY REGIONAL HOSPITAL,243 ELM STREET,CLAREMONT,NH,03743-,SULLIVAN,25,"$7,617,599","$44,885,958",,"-$685,846"
100315,VIERA HOSPITAL INC,8745 WICKHAM ROAD,VIERA,FL,32940,BREVARD,84,"$206,029,319","$275,910,360","$23,517,530","$13,239,582"
220162,DANA-FARBER CANCER INSTITUTE,450 BROOKLINE AVE,BOSTON,MA,2215,SUFFOLK,30,"$124,593,275","$2,554,550,142","$405,426,885","$34,716,655"
471301,GIFFORD MEDICAL CENTER,44 SOUTH MAIN STREET,RANDOLPH,VT,05060-,ORANGE,29,"$27,596,080","$72,773,307",,"$5,763,271"
471304,NORTH COUNTRY HOSPITAL & HEALTH CTR,189 PROUTY DRIVE,NEWPORT,VT,5855,ORLEANS,25,"$29,255,997","$115,590,303",,"-$437,173"
141317,GIBSON AREA HOSPITAL AND HEALTH SVCS,1120 N. MELVIN,GIBSON CITY,IL,60936-,FORD,25,"$51,880,411","$137,263,471",,"$7,139,536"
141322,ABRAHAM LINCOLN MEMORIAL HOSPITAL,200 STAHLHUT DRIVE,LINCOLN,IL,62656,LOGAN,25,"$15,223,833","$94,993,820",,"$13,521,833"
141339,TAYLORVILLE MEMORIAL HOSPITAL,201 EAST PLEASANT STREET,TAYLORVILLE,IL,62568,CHRISTIAN,25,"$17,618,265","$78,882,022",,"$7,877,045"
173028,VIA CHRISTI REHAB CENTER  INC,1151 N. ROCK ROAD,WICHITA,KS,67206-,SEDGWICK,58,"$22,120,451","$22,313,068",,"$6,359"
10146,JACKSONVILLE MEDICAL CENTER,1701 PELHAM ROAD SOUTH,JACKSONVILLE,AL,36265,CALHOUN,33,"$33,112,931","$61,650,828","$7,920,590","-$2,218,251"
111331,MITCHELL COUNTY HOSPITAL,90 STEPHENS STREET,CAMILLA,GA,31728-,MITCHELL,25,"$24,167,190","$29,015,480",,"$1,065,715"
111326,SGMC  LANIER CAMPUS,116 W. THIGPEN AVENUE,LAKELAND,GA,31635-,LANIER,25,"$10,691,392","$9,790,558",,"$333,015"
450746,KNOX COUNTY HOSPITAL,712 SOUTH FIFTH,KNOX CITY,TX,79529,,28,"$389,106","$21,478,713","$4,850,716","$6,991,658"
451359,OCHILTREE GENERAL HOSPITAL,3101 GARRETT DRIVE,PERRYTON,TX,79070-,OCHILTREE,25,"$8,749,633","$15,037,214",,"$3,768,451"
10034,COMMUNITY HOSPITAL INC.,805 FRIENDSHIP DRIVE,TALLASSEE,AL,36078,ELMORE,37,"$14,236,417","$25,590,859","$13,037,633","-$1,735,301"
11300,WASHINGTON COUNTY HOSPITAL,ST. STEPHENS AVENUE,CHATOM,AL,36518-,WASHINGTON,15,"$9,479,152","$7,542,758",,"$640,088"
301312,HUGGINS HOSPITAL,240 SOUTH MAIN STREET,WOLFEBORO,NH,3894,CARROLL,25,"$19,293,180","$71,419,153",,"$2,828,702"
521347,BALDWIN AREA MEDICAL CENTER  INC.,1100 BERGSLIEN STREET,BALDWIN,WI,54002,ST. CROIX,25,"$8,394,144","$51,806,453",,"$905,204"
201308,HOULTON REGIONAL HOSPITAL,20 HARTFORD STREET,HOULTON,ME,4730,AROOSTOOK,25,"$19,874,540","$54,620,997",,"-$96,409"
301307,MEMORIAL HOSPITAL,3073 WHITE MOUNTAIN HIGHWAY,NORTH CONWAY,NH,3860,CARROLL,25,"$27,059,542","$80,298,598",,"$3,225,623"
471307,PORTER HOSPITAL,115 PORTER DRIVE,MIDDLEBURY,VT,05753-8629,ADDISON,25,"$36,753,207","$103,420,348",,"$1,871,073"
100266,GULF BREEZE HOSPITAL,1100 GULF BREEZE PARKWAY,GULF BREEZE,FL,32561,SANTA ROSA,65,"$159,193,761","$377,511,302","$26,548,878","$26,036,381"
153030,REHABILITATION HOSPITAL OF FT WAYNE,7970 WEST JEFFERSON BOULEVARD,FORT WAYNE,IN,46804-,ALLEN,36,"$31,351,233","$21,546",,"-$472,335"
281364,BEATRICE COMMUNITY HOSPITAL,4800 HOSPITAL PARKWAY,BEATRICE,NE,68310-,GAGE,25,"$17,849,315","$76,179,153",,"-$3,058,994"
100117,BAPTIST MEDICAL CENTER-BEACHES,1350 THIRTEENTH AVENUE SOUTH,JACKSONVILLE BEACH,FL,32250,DUVAL,135,"$285,609,120","$299,933,113","$37,739,366","$18,520,395"
201313,SEBASTICOOK VALLEY HOSPITAL,99 GROVE STREET,PITTSFIELD,ME,04967-,SOMERSET,25,"$10,608,697","$47,166,161",,"$5,863,249"
421302,FAIRFIELD MEMORIAL HOSPITAL,102 US HWY 31 BYPASS NORTH,WINSBORO,SC,29180-0620,FAIRFIELD,25,"$702,640","$14,716,677",,"$900,024"
421303,WILLIAMSBURG REGIONAL HOSPITAL,WILLIAMSBURG REGIONAL HOSPITAL,KINGSTREE,SC,29556,WILLIAMSBURG,25,"$15,505,133","$24,288,113",,"$2,629,981"
493025,SHELTERING ARMS HOSPITAL,8254 ATLEE ROAD,MECHANICSVILLE,VA,23116,HANOVER,40,"$31,753,548","$17,996,865",,"$9,038,346"
493030,SHELTERING ARMS HOSPITAL SOUTH,13700 ST.FRANCIS BLVD,MIDLOTHIAN,VA,23114,CHESTERFIELD,28,"$19,124,833","$1,742,937",,"$4,950,882"
511306,ROANE GENERAL HOSPITAL,200 HOSPITAL DRIVE,SPENCER,WV,25276-1060,ROANE,25,"$10,286,776","$64,498,801",,"$2,057,281"
511320,JACKSON GENERAL HOSPITAL,PINNELL STREET,RIPLEY,WV,25271,JACKSON,25,"$6,193,533","$58,654,290",,"-$141,119"
341303,FIRSTHEALTH MONTGOMERY MEMORIAL CAH,520 ALLEN STREET,TROY,NC,27371,MONTGOMERY,4,"$4,009,817","$38,982,497",,"$639,219"
341304,BERTIE MEMORIAL HOSPITAL,1403 SOUTH KING STREET,WINDSOR,NC,27983,BERTIE,6,"$5,517,449","$33,488,909",,"$201,290"
341318,CHOWAN HOSPITAL INC.,211 VIRGINIA AVENUE,EDENTON,NC,27932,CHOWAN,25,"$36,978,845","$90,037,609",,"$7,937,620"
341324,THE OUTER BANKS HOSPITAL,4800 S. CROATAN HWY,NAGS HEAD,NC,27959,DARE,21,"$18,511,571","$106,330,136",,"$14,984,753"
341326,ANGEL MEDICAL CENTER,120 RIVERVIEW STREET,FRANKLIN,NC,28744-,MACON,25,"$29,929,965","$152,788,834",,"$441,595"
341329,BLUE RIDGE REGIONAL HOSPITAL,125 HOSPITAL DRIVE,SPRUCE PINE,NC,28777,MITCHELL,25,"$14,600,338","$108,725,975",,"$522,156"
422008,GHS N GREENVILLE LT ACUTE CARE HOSPI,807 NORTH MAIN STREET,TRAVELERS REST,SC,29690-,GREENVILLE,29,"$26,754,719","$50,884,784",,"-$9,420,532"
141315,BCC DBA ILLINI COMMUNITY HOSPITAL,640 WEST WASHINGTON,PITTSFIELD,IL,62363,PIKE,25,"$8,610,296","$48,487,218",,"$1,242,185"
301301,COTTAGE HOSPITAL,90 SWIFTWATER ROAD,WOODSVILLE,NH,03785-,GRAFTON,25,"$18,873,345","$36,847,145",,"$20,713"
301303,WEEKS MEDICAL CENTER,173 MIDDLE STREET,LANCASTER,NH,3584,COOS,25,"$12,980,406","$60,009,754",,"$2,020,540"
301309,MONADNOCK COMMUNITY HOSPITAL,452 OLD STREET ROAD,PETERBOROUGH,NH,03458-,HILLSBOROUGH,25,"$17,986,387","$109,641,350",,"$6,685,405"
471303,NORTHEASTERN VT REGIONAL HOSPITAL,1315 HOSPITAL DRIVE,ST. JOHNSBURY,VT,5819,CALEDONIA,25,"$34,772,776","$107,412,485",,"$2,645,162"
414000,BUTLER HOSPITAL,345 BLACKSTONE BOULEVARD,PROVIDENCE,RI,2906,PROVIDENCE,143,"$127,165,437","$28,153,584",,"-$1,199,591"
10021,DALE MEDICAL CENTER,126 HOSPITAL,OZARK,AL,36360-,DALE,77,"$23,015,585","$61,063,071","$14,775,284","$28,915"
241376,GLACIAL RIDGE HOSPITAL,10 FOURTH AVENUE SE,GLENWOOD,MN,56334-,POPE,19,"$12,172,951","$42,941,131",,"$1,485,076"
520109,MILE BLUFF MEDICAL CENTER  INC.,1050 DIVISION STREET,MAUSTON,WI,53948-,JUNEAU,40,"$36,415,551","$120,145,869","$40,081,863","-$870,605"
111313,PUTNAM GENERAL HOSPITAL,101 LAKE OCONEE PARKWAY,EATONTON,GA,31024-,PUTNAM,25,"$5,762,448","$18,705,098",,"-$189,342"
111333,JEFF DAVIS,163 S TALLAHASSEE ST,HAZLEHURST,GA,31539-,JEFF DAVIS,25,"$10,733,213","$23,910,406",,"$943,263"
241350,MERCY HOSPITAL & HEALTH CARE CENTER,710 KENWOOD AVENUE SOUTH,MOOSE LAKE,MN,55767-,CARLTON,25,"$14,418,937","$43,726,691",,"$536,215"
241373,PERHAM MEMORIAL HOSPITAL AND HOME,1000 CONEY STREET WEST,PERHAM,MN,56573,OTTERTAIL,25,"$21,440,701","$49,652,806",,"$1,409,092"
141310,MENDOTA COMMUNITY HOSPITAL,1401 EAST 12TH ST,MENDOTA,IL,61342-9216,LA SALLE,25,"$9,410,146","$60,622,305",,"-$300,434"
141325,OSF SAINT LUKE MEDICAL CENTER,1051 WEST SOUTH STREET,KEWANEE,IL,61443,HENRY,25,"$7,057,557","$62,568,685",,"$3,726,093"
261334,CAH #6 - I70,105 HOSPITAL DRIVE,SWEET SPRINGS,MO,65351,SALINE,15,"$4,384,958","$11,916,937",,"$493,745"
234041,CENTER FOR FORENSIC PHYCHIATRY,1500 MEDICAL CENTER DRIVE,ANN ARBOR,MI,48106,WASHTENAW,240,"$82,755,117",,"$32,870,935","-$79,501,772"
673038,MEMORIAL HERMANN REHAB HOSP KATY,21720 KINGSLAND BLVD 102,KATY,TX,77450,HARRIS,35,"$26,906,933","$48,505,637",,"$2,236,447"
201309,MAYO REGIONAL HOSPITAL,897 WEST MAIN STREET,DOVER-FOXCROFT,ME,04426-,PISCATAQUIS,25,"$14,795,324","$63,335,117",,"-$114,765"
221300,MARTHAS VINEYARD HOSPITAL,ONE HOSPITAL ROAD,OAK BLUFFS,MA,2557,DUKES,25,"$23,625,305","$117,272,477",,"$10,090,166"
521320,TOMAH MEMORIAL HOSPITAL,321 BUTTS AVENUE,TOMAH,WI,54660-,MONROE,25,"$13,498,672","$61,454,573",,"$4,337,524"
521356,OCONTO HOSPITAL & MEDICAL CENTER,820 ARBUTUS AVE,OCONTO,WI,54153-,OCONTO,10,"$1,395,301","$49,557,253",,"-$3,875,264"
31311,WINSLOW MEMORIAL HOSPITAL,1501 N WILLIAMSON AVE,WINSLOW,AZ,86047-,NAVAJO,25,"$37,802,946","$74,221,951",,"$1,616,617"
441305,MACON COUNTY GENERAL HOSPITAL,204 MEDICAL DRIVE,LAFAYETTE,TN,37083-0378,MACON,25,"$9,418,209","$20,492,231",,"-$396,007"
241305,RIVERWOOD HEALTHCARE CENTER,200 BUNKER HILL DRIVE,AITKIN,MN,56431-1697,AITKIN,25,"$23,066,274","$71,051,981",,"$4,182,836"
191318,RIVERLAND MEDICAL CENTER,1700 EE WALLACE BOULEVARD NORTH,FERRIDAY,LA,71334,CONCORDIA,25,"$12,006,420","$40,819,899",,"-$103,067"
251337,TIPPAH COUNTY HOSPITAL,1005 HIGHWAY 15 N,RIPLEY,MS,38663,TIPPAH,25,"$15,561,016","$20,161,331",,"$94,979"
41310,STONE COUNTY MEDICAL CENTER,HWY 14 EAST,MOUNTAIN VIEW,AR,72560-2300,STONE,25,"$10,913,938","$34,272,762",,"$1,066,384"
251304,TALLAHATCHIE CRITICAL ACCESS HOSPITA,CHURCH STREET,CHARLESTON,MS,38921,TALLAHATCHIE,9,"$24,250,997","$19,376,760",,"-$516,780"
341319,TRANSYLVANIA COMMUNITY HOSPITAL,260 HOSPITAL DRIVE,BREVARD,NC,28712-,TRANSYLVANIA,25,"$25,740,882","$134,813,019",,"$6,946,239"
341320,ALLEGHANY MEMORIAL HOSPITAL,233 DOCTORS STREET,SPARTA,NC,28675,,25,"$4,822,285","$19,311,846",,"-$608,618"
491302,CARILION GILES COMMUNITY HOSPITAL,159 HARTLEY WAY,PEARISBURG,VA,24134,GILES,25,"$24,181,190","$66,115,117",,"$6,373,746"
493027,RIVERSIDE REHABILITATION INSTITUTE,245 CHESAPEAKE BLVD.,NEWPORT NEWS,VA,23607-,NEWPORT NEWS,50,"$11,350,459","$1,724,470",,"$988,903"
371333,CREEK NATION COMMUNITY HOSPITAL,309 NORTH 14TH STREET,OKEMAH,OK,74859,OKFUSKEE,25,"$2,632,700","$20,330,914",,"-$8,903,444"
441314,CAH ACQUISITION COMPANY #11 LLC,326 ASBURY RD,RIPLEY,TN,38063,LAUDERDALE,25,"$6,191,044","$39,654,371",,"$786,241"
241356,MILLE LACS HOSPITAL,200 NORTH ELM ST,ONAMIA,MN,56359-,MILLE LACS,25,"$20,056,672","$49,813,415",,"$287,035"
250079,SHARKEY-ISSAQUENA COMM HOSPITAL,108 SOUTH FOURTH STREET,ROLLING FORK,MS,39159,SHARKEY,19,"$6,484,057","$10,378,403","$4,920,426","$588,688"
421301,ABBEVILLE AREA MEDICAL CENTER,ABBEVILLE AREA MEDICAL CENTER,ABBEVILLE,SC,29620,ABBEVILLE,25,"$8,459,587","$62,849,013",,"-$937,181"
341323,CHARLES A. CANNON MEMORIAL HOSPITAL,434 HOSPITAL DRIVE,LINVILLE,NC,28646-,AVERY,25,"$13,754,568","$30,011,219",,"-$1,514,558"
181321,WAYNE COUNTY HOSPITAL,166 HOSPITAL STREET,MONTICELLO,KY,42633-,WAYNE,25,"$5,680,507","$21,673,774",,"-$279,694"
233027,REHABILITATION INSTITUTE OF MICHIGAN,261 MACK BLVD,DETROIT,MI,48201,WAYNE COUNTY,69,"$72,692,459","$97,968,039","$38,083,638","$5,813,249"
100028,PARRISH MEDICAL CENTER,951 N. WASHINGTON AVE,TITUSVILLE,FL,32799,BREVARD,210,"$230,916,195","$383,566,971","$46,575,991","$44,859,317"
100105,INDIAN RIVER MEMORIAL HOSPITA.L,1000 36TH STREET,VERO BEACH,FL,32960,INDIAN RIVER COUNTY,310,"$405,080,369","$367,670,093","$130,442,491","-$3,985,636"
100130,LAKESIDE MEDICAL CENTER,39200 HOOKER HIGHWAY,BELLE GLADE,FL,33430,PALM BEACH,54,"$60,187,933","$70,123,526","$17,762,132","$2,211,392"
100286,PHYSICIANS REGIONAL MEDICAL CENTER,6101 PINE RIDGE ROAD,NAPLES,FL,34119,COLLIER,201,"$921,236,374","$910,267,357","$63,389,120","$17,219,009"
101313,MARINERS HOSPITAL,91500 OVERSEAS HIGHWAY,TAVERNIER,FL,33070,MONROE,25,"$18,080,614","$138,849,364",,"$13,100,625"
103026,ST CATHERINES REHABILITATION HOSPITA,1050 NE 125TH STREET,NORTH  MIAMI,FL,33161,MIAMI-DADE,60,"$65,731,630","$1,147,071",,"$4,850,801"
103027,ST JOHNS REHABILITATION HOSPITAL,3705 NW 35TH STREET,LAUDERDALE LAKES,FL,33311,BROWARD,26,"$44,570,833","$546,190",,"-$592,969"
400016,AUXILIO MUTUO HOSPITAL,PONCE DE LEON,SAN JUAN,PR,00919-1227,,432,"$216,339,808","$144,628,216","$75,430,096","-$4,987,546"
191306,WEST FELICIANA PARISH HOSPITAL,5266 COMMERCE STREET,ST. FRANCISVILLE,LA,70775-,WEST FELICIANA PARISH,25,"$500,944","$21,113,240",,"-$1,019,994"
241363,STEVENS COMMUNITY MEDICAL CENTER,400 EAST 1ST STREET,MORRIS,MN,56267-,STEVENS,25,"$13,672,779","$38,453,887",,"$1,806,677"
361313,MORROW COUNTY HOSPITAL,651 WEST MARION ROAD,MOUNT GILEAD,OH,43338-,MORROW,23,"$4,637,915","$55,229,811",,"$6,548"
193069,STERLINGTON REHAB HOSPITAL,P O BOX 627,STERLINGTON,LA,71280,OUACHITA,10,"$8,551,044","$6,976,029",,"-$508,232"
141309,ADVOCATE EUREKA HOSPITAL,101 SOUTH MAJOR STREET,EUREKA,IL,61530,WOODFORD,25,"$4,766,884","$20,995,032",,"-$511,828"
501307,ODESSA MEMORIAL HOSPITAL,502 EAST AMENDE,ODESSA,WA,99159-,LINCOLN,25,"$2,688,552","$2,330,882",,"$969,704"
41327,BRADLEY COUNTY MEDICAL CENTER,404 S BRADLEY,WARREN,AR,71671-,BRADLEY,25,"$10,511,826","$28,539,023",,"$1,521,534"
154064,ASSURANCE HEALTH INDIANAPOLIS,900 NORTH HIGH SCHOOL ROAD,INDIANAPOLIS,IN,46214,MARION,23,"$1,885,383",,,"-$963,392"
514011,HIGHLAND-CLARKSBURG HOSPITAL,3 HOSPITAL PLAZA,CLARKSBURG,WV,26301,,,,,,
453314,TEXAS SCOTTISH RITE,2222 WELBORN STREET,DALLAS,TX,75219,,,,,,
414003,EMMA P. BRADLEY HOSPITAL,1011 VETERANS MEMORIAL PARKWAY,EAST PROVIDENCE,RI,02915-5061,,,,,,
14014,BAYPOINTE BEHAVIORAL HEALTH,5750 A SOUTHLAND DRIVE,MOBILE,AL,36693-3316,,,,,,
244016,PRAIRIECARE,9400 ZANE AVE N,BROOKLYN PARK,MN,55443,,,,,,
450620,DIMMIT REGIONAL HOSPITAL DISTRICT,70440 SPIRAL DRIVE,CARRIZO SPRINGS,TX,78834-,DIMMIT,25,"$7,050,308","$34,231,302","$8,598,756","$1,178,777"
131322,FRANKLIN COUNTY MEDICAL CENTER,44 NORTH FIRST EAST,PRESTON,ID,83263-,FRANKLIN,20,"$11,156,990","$16,360,093",,"$864,123"
351326,FIRST CARE HEALTH CENTER,115 VIVIAN STREET,PARK RIVER,ND,58278-,WALSH,14,"$2,820,194","$10,766,463",,"$702,101"
33028,HEALTHSOUTH REHABILITATION INSTITUTE,2650 NORTH WYATT DRIVE,TUCSON,AZ,85712,PIMA,80,"$41,334,083","$2,576,402","$11,619,036","$3,755,452"
103038,HEALTHSOUTH REHABILITATION HOSPITAL,20601 OLD CUTLER ROAD,MIAMI,FL,33189,DADE,60,"$38,325,843",,"$9,213,197","$5,046,882"
103040,HEALTHSOUTH EMERALD COAST REHABILITA,1847 FLORIDA AVENUE,PANAMA CITY,FL,32405,BAY,75,"$38,850,680",,"$11,560,480","$3,520,384"
111335,LIBERTY REGIONAL MEDICAL CENTER,462 E. G. MILES PARKWAY,HINESVILLE,GA,31313,LIBERTY,25,"$23,274,961","$87,088,504",,"-$2,698,870"
183027,HEALTHSOUTH NORTHERN KENTUCKY REHABI,201 MEDICAL VILLAGE DRIVE,EDGEWOOD,KY,41017,KENTON,40,"$28,324,971","$1,020,008","$8,597,442","$3,033,073"
303027,HEALTHSOUTH REHABILITATION HOSPITAL,254 PLEASANT STREET,CONCORD,NH,3301,MERRIMACK,50,"$22,458,365","$1,275,482","$7,323,535","$3,809,352"
313035,HEALTHSOUTH REHABILITATION HOSPITAL,2 CENTRE PLAZA,TINTON FALLS,NJ,7724,MONMOUTH,60,"$38,570,480","$2,020,054","$11,964,635","$10,318,941"
323027,HEALTHSOUTH REHABILITATION HOSPITAL,7000 JEFFERSON ST.  NE,ALBUQUERQUE,NM,87109,BERNALILLO,87,"$42,118,391","$2,077,185","$11,701,312","-$246,885"
340168,WILMINGTON TREATMENT CENTER INC,2520 TROY DRIVE,WILMINGTON,NC,28401,NEW HANOVER,44,"$10,901,815","$19,326,750","$5,684,163","$5,100,881"
400011,HOSPITAL ORIENTE,FONT MARTELO # 100,HUMACAO,PR,792,HUMACAO,66,"$14,108,858","$13,959,806","$4,891,652","$37,628"
453042,HEALTHSOUTH CITY VIEW REHABILITATION,6701 OAKMONT BLVD,FORT WORTH,TX,76132,TARRANT,62,"$28,912,490",,"$8,592,190","$2,321,804"
453053,HEALTHSOUTH REHABILITATION HOSPITAL,515 WEST 12TH STREET,TEXARKANA,TX,75501,BOWIE,60,"$36,637,048","$1,907,097","$10,117,590","$1,496,871"
